Stephen Curry - 2016 Split Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPLIT,GP,GS,MIN,PTS,REB,AST,GS40,OFF,DEF,STL,BL,TOV,BLA,PF,2P,2P%,3P,3P%,FT,FT%,TS%,P40,R40,A40,EF40,T40,S40,B40,FTA40
at FedEx Forum,2,2,34:14:00,22.5,7,6.5,20.2,0,7,3,0.5,3,1,1,5.0-9.5,0.526,3.0-12.0,0.25,3.5-3.5,1,0.488,26.3,8.2,7.6,26.9,3.5,3.5,0.6,4.1
at Footprint Center,2,2,30:23:00,33.5,7.5,8.5,40.6,3,4.5,1.5,0.5,4,0.5,1.5,3.0-5.5,0.545,7.0-13.0,0.538,6.5-7.5,0.867,0.768,44.1,9.9,11.2,50,5.3,2,0.7,9.9
at FTX Arena,1,1,35:35:00,42,7,7,34.7,3,4,1,2,7,1,0,8.0-17.0,0.471,6.0-12.0,0.5,8.0-8.0,1,0.646,47.2,7.9,7.9,41.6,7.9,1.1,2.2,9
at Honda Center,1,1,28:38:00,24,4,10,33.8,2,2,4,0,5,0,4,5.0-6.0,0.833,4.0-8.0,0.5,2.0-2.0,1,0.806,33.5,5.6,14,44.7,7,5.6,0,2.8
at Madison Square Garden,1,1,31:59:00,13,4,4,8.4,0,4,3,0,3,2,1,2.0-6.0,0.333,3.0-11.0,0.273,.0-.0,0,0.382,16.3,5,5,11.3,3.8,3.8,0,0
at Moda Center,4,3,29:22:00,31.8,4.3,7.3,34,1,3.3,1,0.3,2.5,0.8,2.3,5.0-9.0,0.556,5.5-12.8,0.431,5.3-6.0,0.875,0.651,43.2,5.8,9.9,40.9,3.4,1.4,0.3,8.2
at Oracle Arena,52,52,33:28:00,27.3,5.2,6.5,26.7,0.7,4.5,2.1,0.2,3.1,0.6,2,4.6-8.2,0.559,4.7-10.6,0.443,4.1-4.4,0.922,0.659,32.6,6.2,7.8,33.7,3.7,2.5,0.2,5.3
at Paycom Center,4,4,36:51:00,29.5,5.8,5.8,23.8,0.5,5.3,2,0,3.3,1.3,1.8,3.0-8.0,0.375,5.8-12.5,0.46,6.3-8.0,0.781,0.614,32,6.2,6.2,28.5,3.5,2.2,0,8.7
at Rocket Mortgage FieldHouse,4,4,33:29:00,30.5,3.3,3.5,25.8,1.5,1.8,2,0,3.5,0.8,4,3.5-7.3,0.483,5.8-11.8,0.489,6.3-6.8,0.926,0.694,36.4,3.9,4.2,30.5,4.2,2.4,0,8.1
at SAP Center,1,1,19:27,14,4,2,15,1,3,0,0,4,0,6,2.0-2.0,1,3.0-5.0,0.6,1.0-2.0,0.5,0.888,28.8,8.2,4.1,26.7,8.2,0,0,4.1
at Scotiabank Arena,1,1,37:51:00,44,2,7,35.2,1,1,0,0,3,1,4,5.0-9.0,0.556,9.0-15.0,0.6,7.0-9.0,0.778,0.787,46.5,2.1,7.4,40.2,3.2,0,0,9.5
